Name,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131
MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917
CLT,Charlotte Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583
EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731
LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275
DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567
MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556
PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
TPA,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325
DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222
HOU,William P X,Houston,TX,USA,29.64541861,-95.27888889
PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975
BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222
STL,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972
HNL,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072
OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167
AUS,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194
MSY,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778
MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556
SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089
SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669
SNA,John Wayne  Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667
IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222
SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778
MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333
RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667
IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417
SJU,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333
PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083
CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278
PBI,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417
OGG,Kahului,Kahului,HI,USA,20.89864972,-156.4304578
CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725
ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944
BUR,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969
BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833
JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111
ONT,Ontario International,Ontario,CA,USA,34.056,-117.6011944
BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667
OMA,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306
ANC,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856
OKC,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389
TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.9410278
RIC,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667
MEM,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667
TUL,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167
RNO,Reno Tahoe International,Reno,NV,USA,39.49857611,-119.7680647
BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972
ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
CHS,Charleston AFB International,Charleston,SC,USA,32.89864639,-80.04050583
